product_names,prices,links,ratings,reviews
"WALKENT Premium 15.6 Inch Laptop Bag | External USB | Waterproof Backpack | Cushioned Straps | Multi Pockets | For Office, College, Men, Women - Urban, 28 Ltrs ","2,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTM5ODE3MTMzNjI2NjU2OjE2OTc3MTU0NjA6c3BfYXRmX25leHQ6MzAwMDM1Njk0NTQwNTMyOjowOjo&url=%2FWALKENT-External-Waterproof-Backpack-Cushioned%2Fdp%2FB0BRYDXSHP%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715460%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,,
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips ",399,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-19,3.9,"17,617"
"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black) ","1,099",https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-20,4.2,"1,532"
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets ,529,https://www.amazon.in/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-21,3.5,356
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls ",639,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-22,4.1,"6,684"
"Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women ","3,497",https://www.amazon.in/Red-Lemon-Business-Backpack-Waterproof/dp/B09ZYNHVKZ/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-23,4.5,445
"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty ",549,https://www.amazon.in/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-24,4.0,"6,170"
Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey) ,365,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-25,4.3,"8,415"
"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black) ",289,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-26,4.4,"35,926"
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips ",399,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTM5ODE3MTMzNjI2NjU2OjE2OTc3MTU0NjA6c3BfbXRmOjIwMTQ2NTQzMDk0NDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715460%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,3.9,"17,617"
"STRABO Defender Laptop Bag, Light weight & Water resistant - Color Olive 35L, Unisex Bag ",999,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTM5ODE3MTMzNjI2NjU2OjE2OTc3MTU0NjA6c3BfbXRmOjMwMDAxNDkzMTQ4NDczMjo6MDo6&url=%2FSTRABO-Defender-Laptop-weight-resistant%2Fdp%2FB0C9H8W6K6%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715460%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.5,25
"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant) ",229,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-29,4.1,"10,284"
"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls ",799,https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-30,4.2,"3,740"
ADISA Women's Girls Party Sling Bag Crossbody ,309,https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-31,4.0,691
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",229,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-32,4.1,"10,284"
American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black ,"1,399",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-33,4.3,"1,350"
"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN) ",529,https://www.amazon.in/TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-34,3.7,39
Puma Unisex Gym Bag IND ,619,https://www.amazon.in/Puma-Ltrs-Cms-Backpack-7837402_Grey/dp/B089T98TKG/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-35,4.0,501
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs ,399,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1697715460&sprefix=ba%2Caps%2C283&sr=8-36,3.9,"1,401"
"WALKENT Premium 15.6"" Laptop Bag | Semi-Hard Shell | Anti-Theft Pocket with In-Built Lock | Waterproof Fabric & Zipper | For Office, College - Mia, 24 Ltrs ","3,690",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTM5ODE3MTMzNjI2NjU2OjE2OTc3MTU0NjA6c3BfYnRmOjMwMDAzOTM0NzY1MDIzMjo6MDo6&url=%2FWALKENT-Premium-Semi-Hard-Anti-Theft-Waterproof%2Fdp%2FB0CFJT6P1R%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715460%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,5.0,3
"Half Moon Curiosity 35L Water Resistant 15.6"" Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Slim Durable Backpack ",689,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTM5ODE3MTMzNjI2NjU2OjE2OTc3MTU0NjA6c3BfYnRmOjIwMTQ1OTk1NzYyMTk4OjowOjo&url=%2FHalf-Moon-Curiosity-Backpack-Resistant%2Fdp%2FB09S3ZK3N1%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715460%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,3.8,199
"WALKENT Premium 15.6 Inch Laptop Bag | External USB | Waterproof Backpack | Cushioned Straps | Multi Pockets | For Office, College, Men, Women - Urban, 28 Ltrs ","2,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzMxNjAwMjAyMjk0NjU2OjE2OTc3MTU0NjI6c3BfYXRmX25leHQ6MzAwMDM1Njk0NTQwNjMyOjowOjo&url=%2FWALKENT-External-Waterproof-Backpack-Cushioned%2Fdp%2FB0BZZFK9XG%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715462%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.5,24
"Arctic Hunter Backpack for Men, 15.6-inch Laptop Bag for Men 28L Breathable & Comfortable Travel Backpack Polyester Wear & Water-resistant Anti-Theft EVA Shockproof Laptop Backpack with USB Charging Port Earphone Jack Business Backpack for Travel Office College, Black ","2,224.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzMxNjAwMjAyMjk0NjU2OjE2OTc3MTU0NjI6c3BfYXRmX25leHQ6MjAwNjgxOTQzMzM3MDM6OjA6Og&url=%2FBackpack-15-6inch-Resistant-Anti-Theft-Charging%2Fdp%2FB07TW713SC%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715462%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.1,331
Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty ,849,https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1697715462&sprefix=ba%2Caps%2C283&sr=8-35,4.0,"13,853"
Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black) ,"1,299",https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1697715462&sprefix=ba%2Caps%2C283&sr=8-36,4.5,"4,533"
HP 320 15.6-inch Backpacks/Trolley Pass-Through; Padded Back Panel; Padded air mesh Panel/Hand wash and air Dry/Padded Laptop Pocket/1 Year Limited Warranty (793A6AA) ,599,https://www.amazon.in/HP-15-6-inch-Backpacks-Pass-Through-793A6AA/dp/B0BYDXVM5Q/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1697715462&sprefix=ba%2Caps%2C283&sr=8-37,4.0,63
ADISA 31 Ltrs Casual Backpack School College Bag Pack ,349,https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1697715462&sprefix=ba%2Caps%2C283&sr=8-38,3.9,355
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag ,843,https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1697715462&sprefix=ba%2Caps%2C283&sr=8-39,3.6,"1,045"
American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue ,"1,298",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1697715462&sprefix=ba%2Caps%2C283&sr=8-40,4.2,931
ADISA 32L large laptop backpack office bag college travel back pack with rain cover ,449,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1697715462&sprefix=ba%2Caps%2C283&sr=8-41,3.8,503
Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric ,359,https://www.amazon.in/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1697715462&sprefix=ba%2Caps%2C283&sr=8-42,4.0,420
"Golden Wolf Backpack with Rain Cover Anti-theft Backpack with Lock 15.6-inch Laptop Bag Multi-pockets with USB Port for Business Travel College,Dark Grey ","1,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzMxNjAwMjAyMjk0NjU2OjE2OTc3MTU0NjI6c3BfbXRmOjIwMDY4MTk0MzMzMjAzOjowOjo&url=%2FHoteon-Backpack-Anti-Theft-Earphone-Resistant%2Fdp%2FB08HM4TQZZ%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715462%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.3,"3,625"
"WALKENT ARCTIC HUNTER 15.6 Inch Laptop Bag, Anti-Theft Code Lock, Waterproof, Trolley Strap, Multi Pockets for Men, Women, Office, College - Eden (24 Liters, Black) ","2,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzMxNjAwMjAyMjk0NjU2OjE2OTc3MTU0NjI6c3BfbXRmOjIwMTU1NTI5OTU5Mjk4OjowOjo&url=%2FWALKENT-Anti-Theft-Waterproof-Trolley-Pockets%2Fdp%2FB0BZRPF5QV%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715462%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.8,15
